local_gs_id,name,longitude,timezone_offset_hours,reference_utc_hour,local_hour,activity
100,SatAnchor-0100-base,-38.115628,0,0,0,1.000000000
101,SatAnchor-0101-base,-11.076534,0,0,0,1.000000000
102,SatAnchor-0102-base,8.092374,0,0,0,1.000000000
103,SatAnchor-0103-base,27.264886,0,0,0,1.000000000
104,SatAnchor-0104-base,54.295346,0,0,0,1.000000000
105,SatAnchor-0105-base,98.03251,0,0,0,1.000000000
106,SatAnchor-0106-base,141.769688,0,0,0,1.000000000
107,SatAnchor-0107-base,168.800161,0,0,0,1.000000000
108,SatAnchor-0108-base,-126.862103,0,0,0,1.000000000
109,SatAnchor-0109-base,-104.974441,0,0,0,1.000000000
110,SatAnchor-0110-base,-69.993415,0,0,0,1.000000000
111,SatAnchor-0111-base,-21.941518,0,0,0,1.000000000
112,SatAnchor-0112-base,13.039492,0,0,0,1.000000000
113,SatAnchor-0113-base,34.927139,0,0,0,1.000000000
114,SatAnchor-0114-base,53.258653,0,0,0,1.000000000
115,SatAnchor-0115-base,75.149751,0,0,0,1.000000000
116,SatAnchor-0116-base,110.082985,0,0,0,1.000000000
117,SatAnchor-0117-base,157.982016,0,0,0,1.000000000
118,SatAnchor-0118-base,-167.084746,0,0,0,1.000000000
119,SatAnchor-0119-base,-145.193607,0,0,0,1.000000000
