flow_id,src_local_id,src_name,src_anchor_sat,src_latitude,src_longitude,dst_local_id,dst_name,dst_anchor_sat,dst_latitude,dst_longitude,distance_km,size_byte,start_time_ns
45,0,SatAnchor-0000-base,0,-0.079355,-100.027314,46,SatAnchor-0046-base,46,-34.423925,-23.084735,8808.169,10000000,0
46,0,SatAnchor-0000-base,0,-0.079355,-100.027314,47,SatAnchor-0047-base,47,-12.003409,-1.193603,10966.307,10000000,0
47,0,SatAnchor-0000-base,0,-0.079355,-100.027314,48,SatAnchor-0048-base,48,-0.079355,43.972686,16012.032,10000000,0
48,0,SatAnchor-0000-base,0,-0.079355,-100.027314,49,SatAnchor-0049-base,49,23.46706,63.141595,16842.407,10000000,0
49,0,SatAnchor-0000-base,0,-0.079355,-100.027314,50,SatAnchor-0050-base,50,43.720669,90.180716,15057.684,10000000,0
50,0,SatAnchor-0000-base,0,-0.079355,-100.027314,51,SatAnchor-0051-base,51,52.980825,134.032545,12316.204,10000000,0
51,0,SatAnchor-0000-base,0,-0.079355,-100.027314,52,SatAnchor-0052-base,52,43.720656,177.884368,9378.838,10000000,0
52,0,SatAnchor-0000-base,0,-0.079355,-100.027314,53,SatAnchor-0053-base,53,23.467053,-155.076535,6486.661,10000000,0
53,0,SatAnchor-0000-base,0,-0.079355,-100.027314,54,SatAnchor-0054-base,54,-0.079359,-135.907637,3989.706,10000000,0
54,0,SatAnchor-0000-base,0,-0.079355,-100.027314,55,SatAnchor-0055-base,55,-23.596866,-116.735118,3176.599,10000000,0
55,0,SatAnchor-0000-base,0,-0.079355,-100.027314,56,SatAnchor-0056-base,56,-43.775567,-89.704658,4965.644,10000000,0
56,0,SatAnchor-0000-base,0,-0.079355,-100.027314,57,SatAnchor-0057-base,57,-52.980825,-45.967491,7698.881,10000000,0
57,0,SatAnchor-0000-base,0,-0.079355,-100.027314,58,SatAnchor-0058-base,58,-43.775577,-2.230311,10626.494,10000000,0
58,0,SatAnchor-0000-base,0,-0.079355,-100.027314,59,SatAnchor-0059-base,59,-23.596885,24.800156,13512.428,10000000,0
59,0,SatAnchor-0000-base,0,-0.079355,-100.027314,60,SatAnchor-0060-base,60,11.852077,89.137903,18360.610,10000000,0
60,0,SatAnchor-0000-base,0,-0.079355,-100.027314,61,SatAnchor-0061-base,61,34.327797,111.025572,15021.691,10000000,0
61,0,SatAnchor-0000-base,0,-0.079355,-100.027314,62,SatAnchor-0062-base,62,50.456626,146.006591,11681.129,10000000,0
62,0,SatAnchor-0000-base,0,-0.079355,-100.027314,63,SatAnchor-0063-base,63,50.456619,-165.941509,8340.033,10000000,0
63,0,SatAnchor-0000-base,0,-0.079355,-100.027314,64,SatAnchor-0064-base,64,34.327783,-130.960504,4999.471,10000000,0
64,0,SatAnchor-0000-base,0,-0.079355,-100.027314,65,SatAnchor-0065-base,65,11.852076,-109.072848,1660.554,10000000,0
65,0,SatAnchor-0000-base,0,-0.079355,-100.027314,66,SatAnchor-0066-base,66,-12.003416,-90.741338,1675.825,10000000,0
66,0,SatAnchor-0000-base,0,-0.079355,-100.027314,67,SatAnchor-0067-base,67,-34.423908,-68.85024,5009.020,10000000,0
67,0,SatAnchor-0000-base,0,-0.079355,-100.027314,68,SatAnchor-0068-base,68,-50.473315,-33.917005,8339.675,10000000,0
68,0,SatAnchor-0000-base,0,-0.079355,-100.027314,69,SatAnchor-0069-base,69,-50.473322,13.982031,11669.332,10000000,0
69,0,SatAnchor-0000-base,0,-0.079355,-100.027314,70,SatAnchor-0070-base,70,-34.423925,48.915267,14999.986,10000000,0
70,0,SatAnchor-0000-base,0,-0.079355,-100.027314,71,SatAnchor-0071-base,71,-12.003409,70.806399,18333.185,10000000,0
71,0,SatAnchor-0000-base,0,-0.079355,-100.027314,72,SatAnchor-0072-base,72,-0.079355,115.972692,16012.031,10000000,0
72,0,SatAnchor-0000-base,0,-0.079355,-100.027314,73,SatAnchor-0073-base,73,23.46706,135.141604,13524.917,10000000,0
73,0,SatAnchor-0000-base,0,-0.079355,-100.027314,74,SatAnchor-0074-base,74,43.720669,162.180711,10638.929,10000000,0
74,0,SatAnchor-0000-base,0,-0.079355,-100.027314,75,SatAnchor-0075-base,75,52.980825,-153.967449,7707.015,10000000,0
75,0,SatAnchor-0000-base,0,-0.079355,-100.027314,76,SatAnchor-0076-base,76,43.720656,-110.115634,4972.346,10000000,0
76,0,SatAnchor-0000-base,0,-0.079355,-100.027314,77,SatAnchor-0077-base,77,23.467053,-83.076533,3194.748,10000000,0
77,0,SatAnchor-0000-base,0,-0.079355,-100.027314,78,SatAnchor-0078-base,78,-0.079359,-63.907628,4016.322,10000000,0
78,0,SatAnchor-0000-base,0,-0.079355,-100.027314,79,SatAnchor-0079-base,79,-23.596866,-44.735116,6506.122,10000000,0
79,0,SatAnchor-0000-base,0,-0.079355,-100.027314,80,SatAnchor-0080-base,80,-43.775567,-17.704655,9385.891,10000000,0
80,0,SatAnchor-0000-base,0,-0.079355,-100.027314,81,SatAnchor-0081-base,81,-52.980825,26.032511,12308.069,10000000,0
81,0,SatAnchor-0000-base,0,-0.079355,-100.027314,82,SatAnchor-0082-base,82,-43.775577,69.769693,15034.524,10000000,0
82,0,SatAnchor-0000-base,0,-0.079355,-100.027314,83,SatAnchor-0083-base,83,-23.596885,96.800159,16816.427,10000000,0
83,0,SatAnchor-0000-base,0,-0.079355,-100.027314,84,SatAnchor-0084-base,84,11.852077,161.137891,10970.654,10000000,0
84,0,SatAnchor-0000-base,0,-0.079355,-100.027314,85,SatAnchor-0085-base,85,34.327797,-176.974436,8817.337,10000000,0
85,0,SatAnchor-0000-base,0,-0.079355,-100.027314,86,SatAnchor-0086-base,86,50.456626,-141.993417,6873.546,10000000,0
86,0,SatAnchor-0000-base,0,-0.079355,-100.027314,87,SatAnchor-0087-base,87,50.456619,-93.94152,5648.897,10000000,0
87,0,SatAnchor-0000-base,0,-0.079355,-100.027314,88,SatAnchor-0088-base,88,34.327783,-58.960508,5731.995,10000000,0
88,0,SatAnchor-0000-base,0,-0.079355,-100.027314,89,SatAnchor-0089-base,89,11.852076,-37.072863,7071.393,10000000,0
89,0,SatAnchor-0000-base,0,-0.079355,-100.027314,90,SatAnchor-0090-base,90,-12.003416,-18.741351,9058.077,10000000,0
90,0,SatAnchor-0000-base,0,-0.079355,-100.027314,91,SatAnchor-0091-base,91,-34.423908,3.149752,11207.642,10000000,0
91,0,SatAnchor-0000-base,0,-0.079355,-100.027314,92,SatAnchor-0092-base,92,-50.473315,38.082983,13144.431,10000000,0
92,0,SatAnchor-0000-base,0,-0.079355,-100.027314,93,SatAnchor-0093-base,93,-50.473322,85.982021,14365.085,10000000,0
93,0,SatAnchor-0000-base,0,-0.079355,-100.027314,94,SatAnchor-0094-base,94,-34.423925,120.915249,14286.814,10000000,0
94,0,SatAnchor-0000-base,0,-0.079355,-100.027314,95,SatAnchor-0095-base,95,-12.003409,142.806387,12954.960,10000000,0
95,0,SatAnchor-0000-base,0,-0.079355,-100.027314,96,SatAnchor-0096-base,96,-0.079355,-172.027316,8006.026,10000000,0
96,0,SatAnchor-0000-base,0,-0.079355,-100.027314,97,SatAnchor-0097-base,97,23.46706,-152.858404,6269.466,10000000,0
97,0,SatAnchor-0000-base,0,-0.079355,-100.027314,98,SatAnchor-0098-base,98,43.720669,-125.819284,5501.512,10000000,0
98,0,SatAnchor-0000-base,0,-0.079355,-100.027314,99,SatAnchor-0099-base,99,52.980825,-81.967447,6133.307,10000000,0
99,0,SatAnchor-0000-base,0,-0.079355,-100.027314,100,SatAnchor-0100-base,100,43.720656,-38.115628,7801.934,10000000,0
100,0,SatAnchor-0000-base,0,-0.079355,-100.027314,101,SatAnchor-0101-base,101,23.467053,-11.076534,9904.041,10000000,0
101,0,SatAnchor-0000-base,0,-0.079355,-100.027314,102,SatAnchor-0102-base,102,-0.079359,8.092374,12022.344,10000000,0
102,0,SatAnchor-0000-base,0,-0.079355,-100.027314,103,SatAnchor-0103-base,103,-23.596866,27.264886,13753.433,10000000,0
103,0,SatAnchor-0000-base,0,-0.079355,-100.027314,104,SatAnchor-0104-base,104,-43.775567,54.295346,14513.824,10000000,0
104,0,SatAnchor-0000-base,0,-0.079355,-100.027314,105,SatAnchor-0105-base,105,-52.980825,98.03251,13881.781,10000000,0
105,0,SatAnchor-0000-base,0,-0.079355,-100.027314,106,SatAnchor-0106-base,106,-43.775577,141.769688,12219.665,10000000,0
106,0,SatAnchor-0000-base,0,-0.079355,-100.027314,107,SatAnchor-0107-base,107,-23.596885,168.800161,10123.486,10000000,0
107,0,SatAnchor-0000-base,0,-0.079355,-100.027314,108,SatAnchor-0108-base,108,11.852077,-126.862103,3245.828,10000000,0
108,0,SatAnchor-0000-base,0,-0.079355,-100.027314,109,SatAnchor-0109-base,109,34.327797,-104.974441,3860.450,10000000,0
109,0,SatAnchor-0000-base,0,-0.079355,-100.027314,110,SatAnchor-0110-base,110,50.456626,-69.993415,6296.472,10000000,0
110,0,SatAnchor-0000-base,0,-0.079355,-100.027314,111,SatAnchor-0111-base,111,50.456619,-21.941518,9174.593,10000000,0
111,0,SatAnchor-0000-base,0,-0.079355,-100.027314,112,SatAnchor-0112-base,112,34.327783,13.039492,12111.989,10000000,0
112,0,SatAnchor-0000-base,0,-0.079355,-100.027314,113,SatAnchor-0113-base,113,11.852076,34.927139,14874.548,10000000,0
113,0,SatAnchor-0000-base,0,-0.079355,-100.027314,114,SatAnchor-0114-base,114,-12.003416,53.258653,16774.984,10000000,0
114,0,SatAnchor-0000-base,0,-0.079355,-100.027314,115,SatAnchor-0115-base,115,-34.423908,75.149751,16145.772,10000000,0
115,0,SatAnchor-0000-base,0,-0.079355,-100.027314,116,SatAnchor-0116-base,116,-50.473315,110.082985,13713.886,10000000,0
116,0,SatAnchor-0000-base,0,-0.079355,-100.027314,117,SatAnchor-0117-base,117,-50.473322,157.982016,10845.533,10000000,0
117,0,SatAnchor-0000-base,0,-0.079355,-100.027314,118,SatAnchor-0118-base,118,-34.423925,-167.084746,7916.668,10000000,0
118,0,SatAnchor-0000-base,0,-0.079355,-100.027314,119,SatAnchor-0119-base,119,-12.003409,-145.193607,5156.773,10000000,0
119,1,SatAnchor-0001-base,1,23.46706,-80.858409,0,SatAnchor-0000-base,0,-0.079355,-100.027314,3337.733,10000000,0
120,1,SatAnchor-0001-base,1,23.46706,-80.858409,2,SatAnchor-0002-base,2,43.720669,-53.819288,3339.895,10000000,0
121,1,SatAnchor-0001-base,1,23.46706,-80.858409,3,SatAnchor-0003-base,3,52.980825,-9.967454,6680.863,10000000,0
122,1,SatAnchor-0001-base,1,23.46706,-80.858409,4,SatAnchor-0004-base,4,43.720656,33.884364,10021.832,10000000,0
123,1,SatAnchor-0001-base,1,23.46706,-80.858409,5,SatAnchor-0005-base,5,23.467053,60.923457,13361.725,10000000,0
124,1,SatAnchor-0001-base,1,23.46706,-80.858409,6,SatAnchor-0006-base,6,-0.079359,80.092369,16699.458,10000000,0
125,1,SatAnchor-0001-base,1,23.46706,-80.858409,7,SatAnchor-0007-base,7,-23.596866,99.264874,19995.948,10000000,0
126,1,SatAnchor-0001-base,1,23.46706,-80.858409,8,SatAnchor-0008-base,8,-43.775567,126.295334,16664.145,10000000,0
127,1,SatAnchor-0001-base,1,23.46706,-80.858409,9,SatAnchor-0009-base,9,-52.980825,170.032505,13334.226,10000000,0
128,1,SatAnchor-0001-base,1,23.46706,-80.858409,10,SatAnchor-0010-base,10,-43.775577,-146.23032,10004.307,10000000,0
129,1,SatAnchor-0001-base,1,23.46706,-80.858409,11,SatAnchor-0011-base,11,-23.596885,-119.199847,6672.505,10000000,0
130,1,SatAnchor-0001-base,1,23.46706,-80.858409,12,SatAnchor-0012-base,12,11.852077,-54.862098,3034.583,10000000,0
131,1,SatAnchor-0001-base,1,23.46706,-80.858409,13,SatAnchor-0013-base,13,34.327797,-32.974436,4769.852,10000000,0
132,1,SatAnchor-0001-base,1,23.46706,-80.858409,14,SatAnchor-0014-base,14,50.456626,2.00659,7526.744,10000000,0
133,1,SatAnchor-0001-base,1,23.46706,-80.858409,15,SatAnchor-0015-base,15,50.456619,50.058487,10488.470,10000000,0
134,1,SatAnchor-0001-base,1,23.46706,-80.858409,16,SatAnchor-0016-base,16,34.327783,85.039496,13418.118,10000000,0
135,1,SatAnchor-0001-base,1,23.46706,-80.858409,17,SatAnchor-0017-base,17,11.852076,106.927144,15997.484,10000000,0
136,1,SatAnchor-0001-base,1,23.46706,-80.858409,18,SatAnchor-0018-base,18,-12.003416,125.258662,16977.009,10000000,0
137,1,SatAnchor-0001-base,1,23.46706,-80.858409,19,SatAnchor-0019-base,19,-34.423908,147.149759,15233.555,10000000,0
138,1,SatAnchor-0001-base,1,23.46706,-80.858409,20,SatAnchor-0020-base,20,-50.473315,-177.917016,12483.357,10000000,0
139,1,SatAnchor-0001-base,1,23.46706,-80.858409,21,SatAnchor-0021-base,21,-50.473322,-130.017978,9531.716,10000000,0
140,1,SatAnchor-0001-base,1,23.46706,-80.858409,22,SatAnchor-0022-base,22,-34.423925,-95.084737,6610.263,10000000,0
141,1,SatAnchor-0001-base,1,23.46706,-80.858409,23,SatAnchor-0023-base,23,-12.003409,-73.193605,4031.316,10000000,0
142,1,SatAnchor-0001-base,1,23.46706,-80.858409,24,SatAnchor-0024-base,24,-0.079355,-28.027316,6269.466,10000000,0
143,1,SatAnchor-0001-base,1,23.46706,-80.858409,25,SatAnchor-0025-base,25,23.46706,-8.858404,7255.934,10000000,0
144,1,SatAnchor-0001-base,1,23.46706,-80.858409,26,SatAnchor-0026-base,26,43.720669,18.180712,8912.241,10000000,0
145,1,SatAnchor-0001-base,1,23.46706,-80.858409,27,SatAnchor-0027-base,27,52.980825,62.03255,10789.867,10000000,0
146,1,SatAnchor-0001-base,1,23.46706,-80.858409,28,SatAnchor-0028-base,28,43.720656,105.884366,12512.494,10000000,0
147,1,SatAnchor-0001-base,1,23.46706,-80.858409,29,SatAnchor-0029-base,29,23.467053,132.923459,13647.659,10000000,0
148,1,SatAnchor-0001-base,1,23.46706,-80.858409,30,SatAnchor-0030-base,30,-0.079359,152.092371,13742.370,10000000,0
149,1,SatAnchor-0001-base,1,23.46706,-80.858409,31,SatAnchor-0031-base,31,-23.596866,171.264876,12751.088,10000000,0
150,1,SatAnchor-0001-base,1,23.46706,-80.858409,32,SatAnchor-0032-base,32,-43.775567,-161.70466,11096.785,10000000,0
151,1,SatAnchor-0001-base,1,23.46706,-80.858409,33,SatAnchor-0033-base,33,-52.980825,-117.967489,9225.222,10000000,0
152,1,SatAnchor-0001-base,1,23.46706,-80.858409,34,SatAnchor-0034-base,34,-43.775577,-74.230311,7507.594,10000000,0
153,1,SatAnchor-0001-base,1,23.46706,-80.858409,35,SatAnchor-0035-base,35,-23.596885,-47.199848,6371.311,10000000,0
154,1,SatAnchor-0001-base,1,23.46706,-80.858409,36,SatAnchor-0036-base,36,11.852077,17.137904,10282.181,10000000,0
155,1,SatAnchor-0001-base,1,23.46706,-80.858409,37,SatAnchor-0037-base,37,34.327797,39.025566,10985.266,10000000,0
156,1,SatAnchor-0001-base,1,23.46706,-80.858409,38,SatAnchor-0038-base,38,50.456626,74.006595,11431.292,10000000,0
157,1,SatAnchor-0001-base,1,23.46706,-80.858409,39,SatAnchor-0039-base,39,50.456619,122.058486,11491.496,10000000,0
158,1,SatAnchor-0001-base,1,23.46706,-80.858409,40,SatAnchor-0040-base,40,34.327783,157.039504,11147.662,10000000,0
159,1,SatAnchor-0001-base,1,23.46706,-80.858409,41,SatAnchor-0041-base,41,11.852076,178.927146,10501.208,10000000,0
160,1,SatAnchor-0001-base,1,23.46706,-80.858409,42,SatAnchor-0042-base,42,-12.003416,-162.741346,9727.973,10000000,0
161,1,SatAnchor-0001-base,1,23.46706,-80.858409,43,SatAnchor-0043-base,43,-34.423908,-140.850235,9027.003,10000000,0
162,1,SatAnchor-0001-base,1,23.46706,-80.858409,44,SatAnchor-0044-base,44,-50.473315,-105.917007,8583.339,10000000,0
163,1,SatAnchor-0001-base,1,23.46706,-80.858409,45,SatAnchor-0045-base,45,-50.473322,-58.01797,8523.336,10000000,0
164,1,SatAnchor-0001-base,1,23.46706,-80.858409,46,SatAnchor-0046-base,46,-34.423925,-23.084735,8864.994,10000000,0
165,1,SatAnchor-0001-base,1,23.46706,-80.858409,47,SatAnchor-0047-base,47,-12.003409,-1.193603,9509.133,10000000,0
166,1,SatAnchor-0001-base,1,23.46706,-80.858409,48,SatAnchor-0048-base,48,-0.079355,43.972686,13524.918,10000000,0
167,1,SatAnchor-0001-base,1,23.46706,-80.858409,49,SatAnchor-0049-base,49,23.46706,63.141595,13507.520,10000000,0
168,1,SatAnchor-0001-base,1,23.46706,-80.858409,50,SatAnchor-0050-base,50,43.720669,90.180716,12488.331,10000000,0
169,1,SatAnchor-0001-base,1,23.46706,-80.858409,51,SatAnchor-0051-base,51,52.980825,134.032545,10870.600,10000000,0
170,1,SatAnchor-0001-base,1,23.46706,-80.858409,52,SatAnchor-0052-base,52,43.720656,177.884368,9075.246,10000000,0
171,1,SatAnchor-0001-base,1,23.46706,-80.858409,53,SatAnchor-0053-base,53,23.467053,-155.076535,7472.916,10000000,0
172,1,SatAnchor-0001-base,1,23.46706,-80.858409,54,SatAnchor-0054-base,54,-0.079359,-135.907637,6486.663,10000000,0
173,1,SatAnchor-0001-base,1,23.46706,-80.858409,55,SatAnchor-0055-base,55,-23.596866,-116.735118,6510.829,10000000,0
174,1,SatAnchor-0001-base,1,23.46706,-80.858409,56,SatAnchor-0056-base,56,-43.775567,-89.704658,7531.375,10000000,0
175,1,SatAnchor-0001-base,1,23.46706,-80.858409,57,SatAnchor-0057-base,57,-52.980825,-45.967491,9144.486,10000000,0
176,1,SatAnchor-0001-base,1,23.46706,-80.858409,58,SatAnchor-0058-base,58,-43.775577,-2.230311,10934.010,10000000,0
177,1,SatAnchor-0001-base,1,23.46706,-80.858409,59,SatAnchor-0059-base,59,-23.596885,24.800156,12534.296,10000000,0
178,1,SatAnchor-0001-base,1,23.46706,-80.858409,60,SatAnchor-0060-base,60,11.852077,89.137903,15939.783,10000000,0
